Eggs,Chips,Nutella,Yogurt,Lamb,Apple,Lettuce,Chicken,Mango,Sauce
Milk,Pear,Apple,Grapes,,,,,,
Carrot,Pear,Cheese,Apple,,,,,,
Milk,Pork,Sauce,,,,,,,
Pepsi,jelly,Beef,Lettuce,Capsicum,Cheese,Bread,Potato,,
Grapes,jelly,Cheese,Milk,Bread,Orange,Yogurt,Beef,Fish,Potato
Mango,Chicken,Eggs,Pepsi,Bread,,,,,
Potato,Apple,Lamb,Beef,Pork,Onion,Chips,,,
Sauce,Pork,Capsicum,Onion,Cheese,Carrot,Lamb,,,
Cheese,Nutella,Carrot,Beef,Capsicum,Fish,Onion,Chicken,,
Potato,Mango,Lamb,Coke,,,,,,
Cheese,jelly,Potato,Onion,Fish,Pork,,,,
Orange,Capsicum,Pork,Yogurt,,,,,,
Eggs,Potato,Pepsi,Yogurt,Lamb,Apple,Lettuce,Chicken,Mango,Sauce
Grapes,Lamb,Pork,Cheese,Orange,Carrot,Yogurt,Milk,Sauce,Tomato
Carrot,Eggs,Coke,jelly,Jam,Chicken,Onion,,,
Potato,Cheese,Lettuce,Chicken,Apple,Sauce,Orange,,,
Grapes,Apple,,,,,,,,
Milk,Lamb,Capsicum,,,,,,,
Sauce,Capsicum,Grapes,,,,,,,
Milk,Tomato,,,,,,,,
Bread,Potato,Pork,Eggs,Banana,Cheese,,,,
Bread,Lettuce,Chips,,,,,,,
Sandwich,Capsicum,Jam,Sauce,Fish,Bread,,,,
Pork,jelly,,,,,,,,
Apple,Jam,Pepsi,Bread,,,,,,
Yogurt,Orange,Milk,Jam,jelly,,,,,
Pepsi,Mango,Potato,jelly,Orange,Bread,,,,
Milk,Sauce,Nutella,,,,,,,
Onion,Sauce,jelly,Lamb,,,,,,
Sauce,jelly,Carrot,Pear,,,,,,
Eggs,Jam,Pork,,,,,,,
Lamb,Pepsi,Mango,Jam,Grapes,Coke,Yogurt,Pork,Carrot,Apple
Eggs,Grapes,Potato,Cheese,Pepsi,Bread,Milk,Carrot,Chips,Mango
Carrot,Lamb,Onion,Capsicum,Sauce,Bread,jelly,Grapes,Sandwich,
Milk,Nutella,Tomato,Beef,Onion,,,,,
Bread,Carrot,Mango,Onion,Milk,Jam,Apple,,,
jelly,Coke,Beef,,,,,,,
Pork,Capsicum,Jam,Cheese,Onion,,,,,
Cheese,,,,,,,,,
Orange,Onion,Coke,Milk,,,,,,
Grapes,Pepsi,Lettuce,,,,,,,
Milk,Apple,Orange,Jam,Potato,Bread,Grapes,Nutella,Cheese,Pepsi
Sauce,Lettuce,Jam,Chicken,jelly,Onion,Bread,Orange,Chips,Nutella
Jam,Yogurt,Fish,Capsicum,Nutella,Sandwich,Sauce,Chicken,,
Chicken,Apple,Capsicum,Onion,Pork,Tomato,Fish,Cheese,Carrot,
Carrot,Potato,Chips,Sauce,jelly,Jam,Banana,,,
Pear,Chicken,Lamb,Banana,Apple,Pepsi,Pork,Tomato,Mango,
Yogurt,Chicken,Potato,Orange,Beef,Onion,Eggs,,,
Apple,Lamb,,,,,,,,
Grapes,,,,,,,,,
Lettuce,Nutella,Beef,Carrot,Pepsi,Sandwich,,,,
Jam,Chicken,Cheese,Banana,,,,,,
Bread,Yogurt,Lettuce,Banana,Lamb,Apple,Jam,Coke,,
Chips,Fish,Pear,Pepsi,Sauce,jelly,Chicken,Jam,,
Tomato,Chips,Yogurt,Pork,Nutella,Pepsi,Milk,Beef,Chicken,Onion
Pepsi,,,,,,,,,
Eggs,Pork,Fish,Lettuce,Grapes,Mango,,,,
Coke,Mango,,,,,,,,
Orange,,,,,,,,,
Sandwich,Orange,,,,,,,,
Banana,Pepsi,Orange,Chips,Lettuce,Apple,Nutella,Grapes,Coke,Cheese
Potato,Grapes,Milk,Pepsi,Pear,,,,,
